bds,ba,sqft,address,zip_code,built_year,heating,cooling,parking,appliances,sold_time,sold_price,list_time,list_price,listing_sold_time_diff,sold_year,sold_month,sold_day,price_percent_change,view_city,view_mountain,view_park,view_water,type_Apartment,type_Condo,type_Multiple Occupancy,type_Other,type_Residential,type_Single Family,type_Townhouse,type_Vacant Land
,,936,309 W 118th St #3D,10026,,,,0 spaces,,2021-01-06 00:00:00,995000,,,,2021,1,6,,0,0,0,0,0,1,0,0,0,0,0,0
,,1108,321 W 110th St APT 12A,10026,2012,,,0 spaces,,2020-12-31 00:00:00,1593561,,,,2020,12,31,,0,0,0,0,0,1,0,0,0,0,0,0
3,2,1912,51 Saint Nicholas Ave APT 2A,10026,2003,,Central,Covered,Other interior features,2020-12-17 00:00:00,1470000,2020-07-08 00:00:00,1550000,162,2020,12,17,-0.05161290322580645,0,0,0,0,0,1,0,0,0,0,0,0
1,1,589,301 W 110th St APT 8V,10026,1988,,,0 spaces,Other interior features,2020-12-16 00:00:00,590000,2020-07-09 00:00:00,680000,160,2020,12,16,-0.1323529411764706,0,0,0,0,0,1,0,0,0,0,0,0
3,2,1750,1809 Adam C Powell Blvd #3C,10026,1904,,,Covered,"Appliances included: Dishwasher, Dryer, Washer",2020-12-16 00:00:00,1150000,2020-07-08 00:00:00,1350000,161,2020,12,16,-0.14814814814814814,0,0,0,0,0,1,0,0,0,0,0,0
1,1,865,103 W 119th St APT 2,10026,1910,,,0 spaces,"Appliances included: Dishwasher, Dryer, Washer",2020-12-16 00:00:00,790000,2020-07-20 00:00:00,827000,149,2020,12,16,-0.044740024183796856,0,0,0,0,0,1,0,0,0,0,0,0
,,11630,242 W 112th St,10026,1900,,,0 spaces,,2020-12-15 00:00:00,399000,,,,2020,12,15,,0,0,0,0,0,1,0,0,0,0,0,0
,,21408,241-243 W 111th St,10026,1920,,,0 spaces,,2020-12-15 00:00:00,500000,,,,2020,12,15,,0,0,0,0,0,1,0,0,0,0,0,0
1,1,540,242 W 112th St APT 4-C,10026,1900,,,0 spaces,Appliances included: Dishwasher,2020-12-15 00:00:00,399000,2020-07-28 00:00:00,425000,140,2020,12,15,-0.0611764705882353,0,0,0,0,0,1,0,0,0,0,0,0
,,1073,309 W 118th St #3N,10026,,,,0 spaces,,2020-12-10 00:00:00,1250000,,,,2020,12,10,,0,0,0,0,0,1,0,0,0,0,0,0
,,156986,208 W 119th St,10026,1900,,,0 spaces,,2020-12-10 00:00:00,320000,,,,2020,12,10,,0,0,0,0,0,1,0,0,0,0,0,0
,,1240,2110 Frederick Douglass Blvd APT 2C,10026,2008,,,0 spaces,,2020-12-09 00:00:00,1187500,,,,2020,12,9,,0,0,0,0,0,1,0,0,0,0,0,0
,,3014,122 W 119th St,10026,1920,,,0 spaces,,2020-12-02 00:00:00,6529083,,,,2020,12,2,,0,0,0,0,0,0,1,0,0,0,0,0
,,1435,361-367 Manhattan Ave #B,10026,,,,0 spaces,,2020-11-29 00:00:00,1250000,,,,2020,11,29,,0,0,0,0,0,1,0,0,0,0,0,0
3,2,1491,23 W 116th St APT 10-A,10026,2014,,Central,Garage - Attached,"Appliances included: Freezer, Microwave, Range / Oven, Refrigerator, Washer",2020-11-23 00:00:00,1653000,2020-06-14 00:00:00,1895000,162,2020,11,23,-0.12770448548812666,1,0,0,0,0,1,0,0,0,0,0,0
2,2,782,247 W 115th St APT 2B,10026,2007,,Central,0 spaces,"Appliances included: Dishwasher, Dryer, Washer",2020-11-23 00:00:00,876000,2020-07-04 00:00:00,869000,142,2020,11,23,0.00805523590333717,0,0,0,0,0,1,0,0,0,0,0,0
3,2,1265,321 W 110th St APT 17C,10026,2012,,Central,0 spaces,Other interior features,2020-11-23 00:00:00,2100000,2020-07-22 00:00:00,2195000,124,2020,11,23,-0.04328018223234624,0,0,0,0,0,1,0,0,0,0,0,0
1,1,950,8 Morningside Ave APT 5N,10026,1910,,,0 spaces,"Appliances included: Dryer, Washer",2020-11-19 00:00:00,540000,2020-09-09 00:00:00,540000,71,2020,11,19,0.0,0,0,0,0,0,1,0,0,0,0,0,0
,,12000,8 Morningside Ave,10026,1910,,,0 spaces,,2020-11-19 00:00:00,540000,,,,2020,11,19,,0,0,0,0,0,1,0,0,0,0,0,0
3,2,1683,1890 Adam Clayton Powell Jr Blvd APT 6E,10026,1920,,,0 spaces,"Appliances included: Dishwasher, Dryer, Washer",2020-11-18 00:00:00,1195000,2019-09-30 00:00:00,1750000,415,2020,11,18,-0.3171428571428571,0,0,0,0,0,1,0,0,0,0,0,0
2,2,1220,159 W 118th St,10026,1920,,,0 spaces,"Appliances included: Dishwasher, Dryer, Washer",2020-11-18 00:00:00,885000,2020-03-09 00:00:00,950000,254,2020,11,18,-0.06842105263157895,0,0,0,0,0,1,0,0,0,0,0,0
1,1,398,245 W 115th St APT 14,10026,1900,,None,None,Other interior features,2020-11-11 00:00:00,450000,2020-09-09 00:00:00,470000,63,2020,11,11,-0.0425531914893617,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1000,247 W 115th St APT 6B,10026,2007,,Central,0 spaces,Other interior features,2020-11-05 00:00:00,1140000,2020-06-17 00:00:00,1190000,141,2020,11,5,-0.04201680672268908,0,0,0,0,0,1,0,0,0,0,0,0
1,1,600,258 W 117th St APT 42W,10026,1910,,,0 spaces,Appliances included: Dishwasher,2020-11-04 00:00:00,269000,2020-05-18 00:00:00,285000,170,2020,11,4,-0.056140350877192984,0,0,0,0,0,1,0,0,0,0,0,0
,,35080,256-262 W 117th St,10026,1910,,,0 spaces,,2020-11-04 00:00:00,269000,,,,2020,11,4,,0,0,0,0,0,1,0,0,0,0,0,0
,,162,111 W 110th St #PK7,10026,2006,,,0 spaces,,2020-11-01 00:00:00,207000,,,,2020,11,1,,0,0,0,0,0,0,0,0,0,1,0,0
2,2,1022,23 W 116th St APT 4C,10026,2013,,,Garage - Attached,"Appliances included: Dryer, Washer",2020-10-25 00:00:00,1175000,,,,2020,10,25,,0,0,0,0,0,0,1,0,0,0,0,0
1,1,430,2082 Frederick Douglass Blvd APT 1B,10026,1900,Forced air,Central,None,Appliances included: Dishwasher,2020-10-22 00:00:00,1650,2020-01-20 00:00:00,430000,276,2020,10,22,-0.9961627906976744,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1435,361 Manhattan Ave #B,10026,1887,,,Covered,"Appliances included: Dishwasher, Dryer, Washer",2020-10-22 00:00:00,1250000,2020-06-29 00:00:00,1350000,115,2020,10,22,-0.07407407407407407,0,0,1,0,0,1,0,0,0,0,0,0
1,2,936,257 W 117th St APT 4F,10026,1892,,Central,0 spaces,Other interior features,2020-10-20 00:00:00,875000,2020-03-03 00:00:00,948000,231,2020,10,20,-0.0770042194092827,0,0,0,0,0,1,0,0,0,0,0,0
3,1,,45 Central Park N APT 4E,10026,1903,,,0 spaces,,2020-10-18 00:00:00,685000,,,,2020,10,18,,0,0,0,0,0,1,0,0,0,0,0,0
,,53136,45 W 110th St,10026,1903,,,0 spaces,,2020-10-18 00:00:00,685000,,,,2020,10,18,,0,0,0,0,0,1,0,0,0,0,0,0
2,1,744,301 W 110th St APT 15J,10026,1988,,,0 spaces,,2020-10-18 00:00:00,880000,2015-02-17 00:00:00,795000,2070,2020,10,18,0.1069182389937107,0,0,0,0,0,1,0,0,0,0,0,0
3,2,963,394 Manhattan Ave APT 4,10026,1900,,Central,0 spaces,Other interior features,2020-09-30 00:00:00,1075000,2020-07-18 00:00:00,1050000,74,2020,9,30,0.023809523809523808,0,0,0,0,0,1,0,0,0,0,0,0
3,1,900,352 W 115th St APT 3E,10026,1910,,,0 spaces,,2020-09-27 00:00:00,405000,2020-06-16 00:00:00,425000,103,2020,9,27,-0.047058823529411764,0,0,0,0,0,1,0,0,0,0,0,0
3,1,900,67 Saint Nicholas Ave #69,10026,1904,,,0 spaces,,2020-09-23 00:00:00,475000,2019-06-23 00:00:00,325000,458,2020,9,23,0.46153846153846156,0,0,0,0,0,1,0,0,0,0,0,0
3,1,1300,67-69 Saint Nicholas Ave APT 17,10026,1904,,,0 spaces,,2020-09-23 00:00:00,475000,,,,2020,9,23,,0,0,0,0,0,1,0,0,0,0,0,0
,,29715,56-60 119th St,10026,1920,,,0 spaces,,2020-09-17 00:00:00,150000,,,,2020,9,17,,0,0,0,0,0,1,0,0,0,0,0,0
2,2,1217,266 W 115th St APT 3A,10026,2005,,,0 spaces,"Appliances included: Dishwasher, Dryer, Freezer, Microwave, Range / Oven, Refrigerator, Washer",2020-09-17 00:00:00,999000,2020-06-23 00:00:00,999000,86,2020,9,17,0.0,0,0,0,0,0,1,0,0,0,0,0,0
2,2,1053,163 Saint Nicholas Ave APT 6A,10026,2003,Forced air,Other,Garage - Attached,Appliances included: Dishwasher,2020-01-28 00:00:00,1100000,2014-12-07 00:00:00,895000,1878,2020,1,28,0.22905027932960895,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1100,1400 5th Ave APT 4G,10026,2003,,,0 spaces,,2020-01-22 00:00:00,790000,2019-07-23 00:00:00,825000,183,2020,1,22,-0.04242424242424243,0,0,0,0,0,1,0,0,0,0,0,0
2,2,1141,120 West 118th #GARDEN,10026,,,,0 spaces,,2020-01-19 00:00:00,1260000,,,,2020,1,19,,0,0,0,0,0,1,0,0,0,0,0,0
1,1,,50 W 112th St APT 6B,10026,1910,,,0 spaces,,2020-01-15 00:00:00,275000,,,,2020,1,15,,0,0,0,0,0,1,0,0,0,0,0,0
