id,zip_code,price,bds,ba,sqft,sold_year,sold_month,sold_day,type,year_built,heating,cooling,parking,pets,laundry,flooring,appliances,view_city,view_mountain,view_park,view_water,most_recent_listing_date,most_recent_listing_price,sold_time,listing_sold_time_diff,price_percent_change
"['515', 'Park', 'Ave', 'APT', '6A']",NY 10022,5450000,3,4,2520,2020,12,24,Condo,1998,Gas,,Covered,,,,,0,0,1,0,3/11/2020 0:00,5995000,12/24/2020,288,-0.090909091
"['121', 'Morton', 'St', '2A']",NY 10014,1430000,2,2,890,2020,12,18,Condo,1960,"Forced air, Electric",Wall,"On-street, Covered",,,Flooring: Hardwood,"Appliances included: Dishwasher, Dryer, Washer",1,0,1,1,8/17/2020 0:00,1425000,12/18/2020,123,0.003508772
"['152', 'W', '58th', 'St']",NY 10019,2380000,2,2,1450,2020,12,17,Condo,1916,Forced air,Central,0 spaces,,,,"Appliances included: Dishwasher, Dryer, Washer",1,0,1,0,6/3/2020 0:00,2490000,12/17/2020,197,-0.044176707
"['110', 'Riverside', 'Dr', 'APT', '1J']",NY 10024,660000,1,1,,2020,12,8,Condo,1929,,,0 spaces,,,,Appliances included: Dishwasher,0,0,1,0,8/25/2020 0:00,669000,12/8/2020,105,-0.013452915
"['253', '263', 'W', '73rd', 'St', '17G']",NY 10023,1300000,3,2,1039,2020,12,8,Condo,1925,,,0 spaces,,,,,1,0,1,0,9/21/2011 0:00,899000,12/8/2020,3366,0.446051168
"['1', 'W', '67th', 'St', '715']",NY 10023,2650000,3,3,,2020,12,3,Condo,1917,,Central,Covered,,,,See more facts and features,0,0,1,0,7/24/2020 0:00,2999000,12/3/2020,132,-0.116372124
"['233', 'E', '86th', 'St']",NY 10028,1100000,1,1,57745,2020,12,1,Apartment,1987,"Other, Gas",Central,On-street,,,,"Appliances included: Dishwasher, Microwave, Range / Oven, Refrigerator",1,0,1,1,1/21/2014 0:00,475000,12/1/2020,2506,1.315789474
"['860', '5th', 'Ave']",NY 10065,275000,2,3,1700,2020,11,30,Condo,1950,Forced air,Central,"Garage, Carport, Garage - Attached, Garage - Detached, Covered",,,,"Appliances included: Dishwasher, Dryer, Washer",0,0,1,0,9/3/2019 0:00,3500000,11/30/2020,454,-0.921428571
"['45', 'Tudor', 'City', 'Pl']",NY 10017,295000,1,2,350,2020,11,25,Multiple Occupancy,1929,,Wall,0 spaces,,,,Other interior features,0,0,1,1,7/8/2016 0:00,535000,11/25/2020,1601,-0.448598131
"['481', 'Washington', 'St', '3S']",NY 10013,5160000,3,3,2948,2020,11,23,Multiple Occupancy,,Forced air,Central,None,"Cats, Small Dogs, Dogs",In Unit,Flooring: Hardwood,"Appliances included: Dishwasher, Dryer, Washer",1,0,1,0,7/23/2020 0:00,5900000,11/23/2020,123,-0.125423729
